Text,Model,Actual,Predicted,Confidence,Error Type
"Cop Accused Of BrutalityA 9th Time

by Melinda Tuhus & Thomas MacMillan | Jan 7, 2011 3:02 pm

(46)",ROBERTA,human,ai,0.547,False Negative
"Cop Accused Of BrutalityA 9th Time

by Melinda Tuhus & Thomas MacMillan | Jan 7, 2011 3:02 pm

(46)",DEBERTA,human,ai,0.5,False Negative
"Cop Accused Of BrutalityA 9th Time

by Melinda Tuhus & Thomas MacMillan | Jan 7, 2011 3:02 pm

(46)",ELECTRA,human,ai,0.533,False Negative
"I last visited McDowell County, West Virginia, over 40 years ago. Even then, I was already an outsid",ROBERTA,human,ai,0.549,False Negative
"I last visited McDowell County, West Virginia, over 40 years ago. Even then, I was already an outsid",ELECTRA,human,ai,0.533,False Negative
"In grammar, a future tense (abbreviated FUT) is a verb form that generally marks the event described",ROBERTA,human,ai,0.54,False Negative
"In grammar, a future tense (abbreviated FUT) is a verb form that generally marks the event described",ELECTRA,human,ai,0.538,False Negative
"Do you remember the girl that made you feel the way that no one else could? The energy, excitement a",ROBERTA,human,ai,0.54,False Negative
"Do you remember the girl that made you feel the way that no one else could? The energy, excitement a",DEBERTA,human,ai,0.5,False Negative
"Do you remember the girl that made you feel the way that no one else could? The energy, excitement a",ELECTRA,human,ai,0.537,False Negative
"The OS and the disk

1: The client sends a write command to the database (data is in client's memory",ROBERTA,human,ai,0.541,False Negative
"The OS and the disk

1: The client sends a write command to the database (data is in client's memory",DEBERTA,human,ai,0.5,False Negative
"The OS and the disk

1: The client sends a write command to the database (data is in client's memory",ELECTRA,human,ai,0.543,False Negative
"Want to start a startup? Get funded by Y Combinator.

October 2009

(This essay is derived from a ta",ROBERTA,human,ai,0.542,False Negative
"Want to start a startup? Get funded by Y Combinator.

October 2009

(This essay is derived from a ta",ELECTRA,human,ai,0.554,False Negative
"http://tvtropes.org/pmwiki/pmwiki.php/Main/StrawVulcan

Rabindranath Tagore ""A mind all logic is lik",ROBERTA,human,ai,0.536,False Negative
"http://tvtropes.org/pmwiki/pmwiki.php/Main/StrawVulcan

Rabindranath Tagore ""A mind all logic is lik",DEBERTA,human,ai,0.5,False Negative
"http://tvtropes.org/pmwiki/pmwiki.php/Main/StrawVulcan

Rabindranath Tagore ""A mind all logic is lik",ELECTRA,human,ai,0.547,False Negative
