Text,Model,Actual,Predicted,Confidence,Error Type
"Photo-realistic image rendering using standard graphics
 techniques is involved, since geometry, mat",DEBERTA,ai,human,0.561,False Positive
"Photo-realistic image rendering using standard graphics
 techniques is involved, since geometry, mat",ELECTRA,ai,human,0.521,False Positive
"Photo-realistic image rendering using standard graphics
 techniques is involved, since geometry, mat",DISTILBERT,ai,human,0.522,False Positive
"The Large Hadron Collider is exploring physics at the energy frontier, probing some of the most fund",DEBERTA,ai,human,0.56,False Positive
"The Large Hadron Collider is exploring physics at the energy frontier, probing some of the most fund",ELECTRA,ai,human,0.518,False Positive
"With the rapid development of mobile Internet technology, more and more image information is stored ",BERT,ai,human,0.503,False Positive
"With the rapid development of mobile Internet technology, more and more image information is stored ",DEBERTA,ai,human,0.56,False Positive
"With the rapid development of mobile Internet technology, more and more image information is stored ",ELECTRA,ai,human,0.534,False Positive
"With the rapid development of mobile Internet technology, more and more image information is stored ",DISTILBERT,ai,human,0.516,False Positive
"Most contour tracking methods can be grouped into two categories, parametric active contour [6,7,8] ",DEBERTA,ai,human,0.56,False Positive
"Most contour tracking methods can be grouped into two categories, parametric active contour [6,7,8] ",ELECTRA,ai,human,0.526,False Positive
"Most contour tracking methods can be grouped into two categories, parametric active contour [6,7,8] ",DISTILBERT,ai,human,0.509,False Positive
Year 2010 is regarded as the breakthrough year of 3D video and the 3D industry [1]. Miraculous 3D fi,DEBERTA,ai,human,0.56,False Positive
Year 2010 is regarded as the breakthrough year of 3D video and the 3D industry [1]. Miraculous 3D fi,ELECTRA,ai,human,0.538,False Positive
Year 2010 is regarded as the breakthrough year of 3D video and the 3D industry [1]. Miraculous 3D fi,DISTILBERT,ai,human,0.536,False Positive
The challenge is that there are two criteria for the optimization of secret data embedding: visual q,DEBERTA,ai,human,0.56,False Positive
The challenge is that there are two criteria for the optimization of secret data embedding: visual q,ELECTRA,ai,human,0.521,False Positive
The challenge is that there are two criteria for the optimization of secret data embedding: visual q,DISTILBERT,ai,human,0.52,False Positive
"Of the several methods for synthetic aperture radar (SAR) image formation, back-projection has many ",DEBERTA,ai,human,0.56,False Positive
"Of the several methods for synthetic aperture radar (SAR) image formation, back-projection has many ",ELECTRA,ai,human,0.526,False Positive
"Of the several methods for synthetic aperture radar (SAR) image formation, back-projection has many ",DISTILBERT,ai,human,0.518,False Positive
Data augmentation is a common technique employed to synthesize more training data. Artificial variat,DEBERTA,ai,human,0.56,False Positive
Data augmentation is a common technique employed to synthesize more training data. Artificial variat,ELECTRA,ai,human,0.528,False Positive
Data augmentation is a common technique employed to synthesize more training data. Artificial variat,DISTILBERT,ai,human,0.52,False Positive
"Recent developments in Deep Learning, such as Generative Adversial Networks (GAN), may be used to ge",DEBERTA,ai,human,0.56,False Positive
"Recent developments in Deep Learning, such as Generative Adversial Networks (GAN), may be used to ge",ELECTRA,ai,human,0.522,False Positive
"Recent developments in Deep Learning, such as Generative Adversial Networks (GAN), may be used to ge",DISTILBERT,ai,human,0.513,False Positive
"Face-to-face conversations are very rich contexts, in which not only verbal meaning is conveyed but ",DEBERTA,ai,human,0.56,False Positive
"Face-to-face conversations are very rich contexts, in which not only verbal meaning is conveyed but ",ELECTRA,ai,human,0.531,False Positive
"To facilitate the use of cloud resources, three big challenges should be resolved at the moment to i",DEBERTA,ai,human,0.56,False Positive
"To facilitate the use of cloud resources, three big challenges should be resolved at the moment to i",ELECTRA,ai,human,0.54,False Positive
"To facilitate the use of cloud resources, three big challenges should be resolved at the moment to i",DISTILBERT,ai,human,0.517,False Positive
An interesting property of such an application is that; (i) the relationship between input and outpu,DEBERTA,ai,human,0.561,False Positive
An interesting property of such an application is that; (i) the relationship between input and outpu,ELECTRA,ai,human,0.521,False Positive
An interesting property of such an application is that; (i) the relationship between input and outpu,DISTILBERT,ai,human,0.508,False Positive
"Numerous techniques [1], [2], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23]",DEBERTA,ai,human,0.56,False Positive
"Numerous techniques [1], [2], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23]",ELECTRA,ai,human,0.518,False Positive
"Numerous techniques [1], [2], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23]",DISTILBERT,ai,human,0.519,False Positive
"Nevertheless, the scene geometry obtained via depth prediction is relative to the specific viewpoint",DEBERTA,ai,human,0.561,False Positive
"Nevertheless, the scene geometry obtained via depth prediction is relative to the specific viewpoint",ELECTRA,ai,human,0.521,False Positive
"Nevertheless, the scene geometry obtained via depth prediction is relative to the specific viewpoint",DISTILBERT,ai,human,0.521,False Positive
